#;Oggetto;# Fixed on ;# Fixed also on ;# Major release
39992;RIchiesta eliminare titolo da GTC;"";"";""
39991;Malfunzionamento raccomandazione ;"";"";""
39990;Modifica testo mail (#39901) - rettifica (segue da #39959);"";"";6.97.0
39989;Provincia di nascita non impostata su Form Polizze quando il cliente è nato all'estero ;"";"";6.97.0
39988;Malfunzionamento in fase di inserimento di raccomandazione per sottoscrizione polizza;"";"";""
39987;Errore in fase di generazione della documentazione prodotto assicurativo Azione Bonus;6.95.1;6.96.1;6.97.0
39986;SAL Interni per richieste di Demand;"";"";""
39985;Batch elaborazione dati Analysis - Main Estrazione Flussi Analysis IMG;"";"";""
39984;Problema su switch in Twill;6.95.1;6.96.1;6.97.0
39983;Inserimento dati relativi a profilo rischio;"";"";""
39982;Estrazione dati relativi per ufficio Risk e Advisory;"";"";""
39981;Verifica quantità cifre decimali canone Consulenza;"";"";""
39980;Problema in fase di gestione dei documenti di raccomandazione;6.95.1;6.96.1;6.97.0
39979;Anomalia in fase di firma del contratto;"";"";6.96.0
39978;Segnalazione malfunzionamento in TWILL nella gestione dei titoli zero coupon in posizione;"";"";""
39977;Rendiconto non corretto;"";"";""
39976;Malfunzionamento FEA;"";"";""
39975;Report Ai - Fine tuning Nuovo Rendiconto (W1) fix bug UAT;"";"";6.95.0
39974;Documento prima sottoscrizione Azione bonus/Flexible solution in errore in UAT;"";"";6.95.0
39973;"Imposazione UNIQA-2GS in Batch ROPRS per watch-list su isin fittizzi come ""Selezionati""";"";"";6.94.0
39972;Report Ai - Fine tuning Nuovo Rendiconto (W1);"";"";6.94.0
39971;Punteggio appropriatezza ordinante x PG;"";"";""
39969;URGENTE - ERRORE CALCOLO PERFORMANCE;6.95.1;6.96.1;6.97.0
39968;INCIDENT REPORTING REQUEST;"";"";""
39967;Problemi in fase di switch tra fondi;"";"";""
39966;Problemi con ordini bloccati in raccomandazione 493629;"";"";""
39965;Apertura utente in ambiente UAT per finalità di test;"";"";""
39964;Errore in accesso dati portafoglio;"";"";""
