#;Oggetto;# Fixed on ;# Fixed also on ;# Major release
29466;Riprofilatura Opportunistica - sospensione controllo per clienti migrati;_v.6.12.0;"";_v.6.12.0
29433;PSK ADDON - Sezione aggiuntiva con relativo punto firma per dichiarazione su KIID;_V.6.12.0;"";_v.6.12.0
29432;PSK ADDON - Visualizzazione documenti KIID in portale cliente;_V.6.12.0;"";_v.6.12.0
29431;PSK ADDON - Visualizzazione documenti firmati con FEA in portale cliente;_V.6.12.0;"";_v.6.12.0
29430;PSK ADDON - Revisione mail con link per i singoli moduli;_V.6.12.0;"";_v.6.12.0
29429;PSK ADDON - Gestione firma per accettazione in modalità cartacea e FEA;_V.6.12.0;"";_v.6.12.0
29428;PSK ADDON - Gestione callback per registrazione firma FEA;_V.6.12.0;"";_v.6.12.0
29427;PSK ADDON - Gestione produzione documenti via batch;_V.6.12.0;"";_v.6.12.0
29426;PSK ADDON - Carico xform e definizione punti firma (per circa 20 modelli);_v.6.12.0;"";_v.6.12.0
29126;Migrazione Unica SIM - censimento utenze e definizione contratti evoluta;_V.6.12.0;"";_V.6.12.0
29098;PSK - Revisione testo mail per comprendere una nuova dicitura dinamica;_V.6.12.0;"";_v.6.12.0
29097;PSK - Gestione allegati per modulo prima sottoscrizione, fascicolo di consiglio;_V.6.12.0;"";_v.6.12.0
29096;PSK - Gestione produzione documenti via batch (ROSDR);_V.6.12.0;"";_v.6.12.0
29095;PSK - Integrazione con postino;_V.6.12.0;"";_v.6.12.0
29094;PSK - Revisione iter di firma considerando presenza documenti di prima sottoscrizione che NON sono da firmare;_V.6.12.0;"";_v.6.12.0
29093;PSK - Tutti i documenti devono essere prima scaricati prima delle firme;_V.6.12.0;"";_v.6.12.0
29092;PSK - Gestione nuovi PUBTIP per considerare se il doc.to è per download o per firma;_V.6.12.0;"";_v.6.12.0
29091;PSK - Prepopolamento nuovo documento NON scaricabile;_V.6.12.0;"";_v.6.12.0
29090;PSK - Nuovo link a fianco dell'operazione con accesso KIID;_V.6.12.0;"";_v.6.12.0
29089;PSK - Gestione array allegati su attuale framework;_V.6.12.0;"";_v.6.12.0
29088;PSK - Metodo per riconoscere se fondo è già nel ptf;_V.6.12.0;"";_v.6.12.0
29087;PSK - Utilizzo parametrico per gestione pdf editabili per Fondi;_V.6.12.0;"";_v.6.12.0
29086;PSK - Completamento attività su Morgan Stanley;_V.6.12.0;"";_v.6.12.0
29364;Adeguamento per IF del flusso TCLANA per informazioni ESG (segue #28238);_v.6.11.1;"";_V.6.11.1
29109;FIA - Manleva: funzione Twill Office;_v.6.11.0;"";_v.6.11.0
29103;"FIA - revisione controlli concentrazione per ""Tipologia"" e rimozione limite 500.000 per FIA";_v.6.10.1;"";_v.6.11.0
29005;aggiornamento scadenza questionario Mifid;_V.6.11.0;"";_V.6.11.0
28914;Unicapem - verifica valori;_V.6.11.0;"";_V.6.11.0
26918;CTR - Definizione e studio oggetti per porting;_v.6.11.0;"";_v.6.11.0
39752;Gestione apertura contratto in applicazione FA/GOV (GT-like) - WAVE 1;"";"";NEXT (per FPB da 6.90.0)
